Broadcast date,URL,Start,End,Text
29/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220829-0815-youth_worker_on_suggestions_to_get_tough_on_youth_crime-128.mp3,3:59.715,4:22.545,Yeah well i think ah that you know we're really lucky to have some ah really amazing police aid officers ah um in Auckland in particular and the programmes that they're running ah they really work for young people. I've seen some young people really turn their lives around um with some concentrated attention from the teams that they have ah in those spaces.
25/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220825-0617-marlborough_vintners_look_forward_to_drier_soils_soon-128.mp3,3:38.894,3:54.764,"Yeah obviously um you know, people near waterways, and I have seen damage um from ah I guess river erosion into the headlands and so forth, just quite a lot of direct damage that they'll need to repair um but then Marlborough has a lot of different soil types."
25/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220825-0856-proposal_to_introduce_friendly_wasps_to_manawatu-whanganui-128.mp3,1:44.840,1:57.427,"Um it's monstering our coast from Whanganui all the way down to like uh Waikawa, south of Levin, but also nationally um it's well known of at Matakana Island and the Kaimaumau Wetlands is another well known spot."
25/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220825-0856-proposal_to_introduce_friendly_wasps_to_manawatu-whanganui-128.mp3,0:00.000,0:16.733,"Manawatū and Whanganui could soon be home to a new foreign wasp. Horizons Regional Council has made an application to import and release the bud-galling wasp to control the spread of invas- an invasive acacia scrub or wattle, I think."
24/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220824-0846-te_atiawa_iwi_realising_its_property_aspirations-128.mp3,1:29.187,1:38.762,You know our treaty settlement provides us with some opportunities to reestablish um our presence as mana whenua as tangata whenua.
24/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220824-0846-te_atiawa_iwi_realising_its_property_aspirations-128.mp3,2:59.621,3:14.850,"Investing in, you know, and it's great that they've investing in New Plymouth. They've obviously got the the Novotel which is very high profile. We've seen the investment out in Fitzroy with a subdivision which was really successful, and now we've got three significant projects on the go."
22/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220822-0650-more_rain_in_store_for_soggy_tasman-128.mp3,0:56.274,1:13.888,"I think we will find some of that wet weather in towards the Nelson region, like I say not as much, but it's just on top of what we've already seen. The heaviest rainfall will be on that western side out towards those ranges west of Motueka and that's where we could find it, the that's where our watch is for the moment but we could find some more rainfall in towards Nelson. Should clear off as we head through in towards tomorrow."
19/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220819-0748-four_key_road_routes_closed_in_top_of_the_south_island-128.mp3,0:16.069,0:46.435,Sure so we've got four key routes that are closed across the top of the south and that is State Highway Sixty Three from Saint Arnaud to Renwick. Uh we are expecting it could open this morning but with further heavy rain coming I just put a caution that it could close again and we've also got the main road between State Highway Six between Blenheim and Nelson and that is actually closed from sort of Bayview road and Atawhai right through to Renwick just before the um State Highway Six Sixty Two roundabout. So that actually perh- that doesn't let anyone travel between Blenheim and Nelson right now.
19/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220819-0840-councils_struggle_to_cover_costs_of_road_repairs-128.mp3,2:10.926,2:28.254,In Gisborne the council has put a twenty-six million dollar funding application into Waka Kotahi. Council community lifelines director David Wilson says most of that is for damage caused by heavy rain in March when a state of emergency was declared in Tairāwhiti. 
19/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220819-0840-councils_struggle_to_cover_costs_of_road_repairs-128.mp3,3:09.483,3:26.312,"So are those roads in the right places? Do we need to look at different options, do we need to look at do we continue to maintain some roads, do we work with forestry for them to become internal roads? All of those options need to be taken into consideration because it's not going to be tenable into the future, particularly if these events happen more and more."
18/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220818-0717-tasman_officials_keeping_a_close_eye_on_riuwaka_river-128.mp3,0:00.000,0:15.763,And north-west of Nelson emergency officials in the Tasman district are keeping a very close eye on the Riuwaka river which has flooded at Cook's Corner in the past. Riuwaka is near Motueka and is the last village before the turnoff to Kaiteriteri on the Takaka Hill.
18/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220818-0717-tasman_officials_keeping_a_close_eye_on_riuwaka_river-128.mp3,0:32.474,0:51.260,The Riuwaka? So yes look um we are expecting a little bit more rain um in that area. Um at this moment in time we don't think that there's anything to be overly concerned about um we know that Cook's Corner when it reaches a one in ten year flood um it it does um it does get inundated.
18/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220818-0851-it_was_a_nightmare_former_prisoners_on_time_inside-128.mp3,0:39.320,0:48.865,"Prisons in Aotearoa, housing more than five hundred prisoners including those on remand, those inmates awaiting trial or sentencing."
18/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220818-0851-it_was_a_nightmare_former_prisoners_on_time_inside-128.mp3,3:25.371,3:32.703,"Contact from the outside world is, is, and particularly from whānau, from family, is so important in all those aspects."
17/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220817-0646-niwa_on_rain_making_its_way_to_the_south_island-128.mp3,0:17.565,0:43.775,"Well there's been some impressive falls since uh going back to nine o'clock yesterday morning Corin, so Tākaka for example uh nearly a hundred and three millimetres of rain that's uh in the Tasman region, uh, areas over the higher elevations farther south for example Ivory Glacier which is an elevated uh location two hundred and thirty one millimetres uh Franz Josef our climate station there, a hundred and thirty four millimetres of rain."
17/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220817-0855-hastings_boys_high_students_sneaking_uber_eats_at_lunchtime-128.mp3,0:20.051,0:38.178,"Look through the list of offers on Uber Eats in Hastings and you could be in for a feast. McDonald's, Carl's Jr, KFC, Pizza Hut, Subway, Burger King and the likes. Does this sound more appealing than spaghetti and meatballs and sandwiches? To some school students, it sure does."
17/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220817-0855-hastings_boys_high_students_sneaking_uber_eats_at_lunchtime-128.mp3,1:32.319,1:39.319,"Uh, nothing wrong with it, I love the school food but like sometimes I get even more hungrier because you know, we're growing kids you know."
17/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220817-0855-hastings_boys_high_students_sneaking_uber_eats_at_lunchtime-128.mp3,2:32.859,2:48.793,"From time to time you do get um students who um think about something to do and and off they go and do it, uh. When schools find out about it then they need to put appropriate things in place to make sure that um it doesn't keep happening."
17/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220817-0822-auckland_street_shut_due_to_police_incident-128.mp3,0:00.000,0:12.049,"As we have been reporting this morning Ocean View Road is closed in Hillcrest, this is in the North Shore of Auckland between Pupuke Road and Alton Ave, due to an overnight police incident."
16/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220816-0616-councils_able_to_take_ownership_of_public_transport_services-128.mp3,1:21.653,1:46.070,"Well that's right, the tendering system itself was a major problem but also of course it doesn't support opportunities to decarbonize via electric or hydrogen fuels, it doesn't create opportunities for on demand services which have been trialling and been very successful, so i'm not suggesting you know that all the councils will actually rip in and buy their own buses and run their own systems."
16/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220816-0616-councils_able_to_take_ownership_of_public_transport_services-128.mp3,4:26.419,4:51.730,"Are you, is it a bur- I'm just worried some will look and think do we want to return to a situation where you've got councils having to take on the nuts and bolts of hiring drivers and working out routes and doing that sort of thing. Is that necessary? Is there not a way to use the private sector and the efficiencies which some argue it has but also you know put the public investment in."
16/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220816-0740-maori_nurses_call_for_more_maori_health_workers-128.mp3,0:21.331,0:31.795,"in the Bay of Plenty. She takes care of patients at Tauranga hospital, she has seen many occasions where non-Māori doctors and nurses have given up on Māori patients."
16/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220816-0740-maori_nurses_call_for_more_maori_health_workers-128.mp3,0:54.620,1:18.346,"Do you know anything about whanaungatanga, do you know anything about whakapapa and they ""no I haven't got a clue what you're talking about but Māoris love us"". I used to get that all the time, ""Māoris love us, I, we have no problems with our patients"", and I say ""Oh really, but do you realise that my position was created because there was a problem, it was an identified problem, that people weren't engaging so how can you explain that?"" and they go ""Oh well, you know cause you were Māori, they gave you the job""."
16/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220816-0740-maori_nurses_call_for_more_maori_health_workers-128.mp3,2:55.724,3:10.737,"Although seriously underfunded, one hundred and sixty eight million over four years is not a great start at all. I'm not sure what the full expectation of that is but that's going to be very difficult from the get go."
16/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220816-0839-transport_emissions_reduction_pathway_gets_thumbs-up-128.mp3,0:38.960,1:01.349,"Well this plan offers us a way to have a faster, more affordable transport system that gives people options about how they get around our city. Aucklanders will have less congestion, they'll have quicker trips, they- there'll be cheaper for them to get around, it'll be safer, air quality will be better and our carbon emissions will be reduced. So this is really a plan where everyone wins."
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0616-migrant_doctors_in_nz_feeling_overlooked_by_health_nz-128.mp3,0:52.030,1:09.581,"Not even a single day has gone by without me not thinking where I am professionally. My everyday job involves working with a doctor so how would I feel knowing that I could be that, I could be this, but I'm never even given an opportunity."
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0616-migrant_doctors_in_nz_feeling_overlooked_by_health_nz-128.mp3,1:29.269,1:44.923,"There is also an English requirement, so in addition to passing the theoretical exam, which I should add is in English, you actually have to sit a separate English examination regardless of what what you have done prior so, prior to sitting the exam I had lived in New Zealand, I had taught at Auckland Medical School and at Otago Medical School."
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0616-migrant_doctors_in_nz_feeling_overlooked_by_health_nz-128.mp3,2:23.058,2:42.332,"We're not hearing anything at all for the doctors who have already been in New Zealand. These are doctors who have passed the NZREX exams they are now deemed to be at a level that is competent and equal to those who come from a comparable medical pathway, because that is the function of the clinical exam."
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0620-draft_bill_could_hald_coal_mining_on_conservation_land-128.mp3,1:01.193,1:22.285,"Ah, back in twenty ten the enormous march up and down Queen Street about mining on Schedule Four land, ah and this would tick those boxes right? So we think this this is a a no brainer and all political parties who are serious about climate change, which must be all of them, ah should support it so we're just being very clear."
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0620-draft_bill_could_hald_coal_mining_on_conservation_land-128.mp3,3:08.307,3:29.364,"Yes, and I wonder though ah obviously mining is not going to stop necessarily in New Zealand because of this ban so is this ah more about that biodiversity, in particular I see there's some high profile cases involving frogs in the Coromandel ah a big dispute there, is that the type of thing you are saying needs to be protected?"
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0755-christchurch_city_council_looking_to_avoid_fluoridation-128.mp3,0:14.259,0:36.025,with the first fourteen councils told to take action last month. Ōtautahi's bill is an eye-wateringly high because it has fifty separate sources more than any other region. Councillors have already voted to not pay a cent towards the big price tag and are investigating if they can avoid wa- water fluorididation fluoridation altogether.
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0755-christchurch_city_council_looking_to_avoid_fluoridation-128.mp3,0:44.149,0:54.792,The Christchurch City Council has been very difficult to engage with over that period. We have never for example managed to engage with the mayor over two decades.
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0755-christchurch_city_council_looking_to_avoid_fluoridation-128.mp3,2:09.045,2:28.455,"We unanimously agreed that this is actually a health issue so it's not a city council issue it's a health issue therefore the ministry should fund it, and secondly because Christchurch we're quite different and special, I like to say we're special, because we've got a multitude of wells and therefore it's going to be very very expensive."
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0850-roundabout_a_sore_point_for_residents-128.mp3,0:44.198,0:50.661,"People who are just learners, or maybe a bit of scary for driving, they wait there for ages, that's not ideal thing."
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0850-roundabout_a_sore_point_for_residents-128.mp3,1:32.922,1:47.638,People want to get into it as quick as possible because the gaps are so quick uh short that you really need a a jump to get into it and so everyone's off the mark really quick and that just continues to flow on and on and it just gets worse.
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0850-roundabout_a_sore_point_for_residents-128.mp3,2:46.048,3:03.108,"It's better, it goes smoother, everything about it is better than it's ever been before. The only thing is they raised the platforms of the pedestrian crossing and every truck that goes through it hits those raised pedestrian crossings and makes a horrendous crashing noise."
15/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220815-0850-roundabout_a_sore_point_for_residents-128.mp3,3:03.110,3:16.392,"Auckland transport says its currently looking at a longer term plan for Manukau Road which includes the Royal Oak roundabout, and will be looking at improvements for all road users including pedestrians and cyclists."
12/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220812-0615-marae_working_on_te_reo_maori_sign_language-128.mp3,0:46.085,1:02.381,"I remember a time when there was a kaumātua came to talk to us and he was speaking beautiful te reo but I couldn't access it because the interpreter couldn't understand and then interpret it into New Zealand Sign Language for me, so that's also a barrier to to accessing."
12/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220812-0615-marae_working_on_te_reo_maori_sign_language-128.mp3,1:32.759,1:52.124,"I've seen young people before when they go to the marae for the first time and they just head through the gate and into the kitchen. That's a mistake that I made as a young man and I was told very firmly that I needed to wait outside and be karangaed on to the marae but I hadn't been told that before, nobody had been able to explain that to me before."
12/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220812-0615-marae_working_on_te_reo_maori_sign_language-128.mp3,2:51.823,3:08.526,And I'm very aware that those who are trying to inform the deaf community about what's being said in Māori are seriously disadvantaged because they don't have the interpreters who can interpret uh te reo Māori and then put it into a sign language for others to understand.
11/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220811-0851-maori_forest_owners_meet_government_over_ets-128.mp3,1:00.916,1:17.572,"Let me be very clear Minister. So we accept that your proposal sounds logical and rational but implied in what you're saying there you have taken that proposal to remove fast-growing exotics off the table. You've walked back on that, and Minister Nash answered 'yes we have'."
11/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220811-0851-maori_forest_owners_meet_government_over_ets-128.mp3,3:07.263,3:19.334,Article two and protecting taonga that are not allowed to regenerate because pine had been incentivised by public policy to take over land that could otherwise having those taonga that are protected and and that Māori have the right to protect.
10/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220810-0753-two_houses_still_off_limits_after_terrace_slip-128.mp3,0:00.000,0:15.319,"Now as we reported in the last half hour a large slip has come down in Woodhouse Avenue in Karori in Wellington and it has blocked the road and left a house teetering on the edge. Our reporter Charlotte Cook is there, hi Charlotte what can you tell us about this, what can you see?"
10/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220810-0753-two_houses_still_off_limits_after_terrace_slip-128.mp3,0:20.157,0:40.179,"It's come down from uh a property up the top which is actually Ramsey Place so it would have been what might have been their backyard once is now slips down all the way across the road on Woodhouse as it's um you know full of trees, large, large rocks, boulders."
10/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220810-0846-snodgrass_road_residents_left_out_of_flood_resilience_package-128.mp3,0:00.000,0:29.187,Residents of Westport's Snodgrass Road will today have the chance to question why they've been left out of a multimillion dollar flood resilience package. More than thirty homes in the rural neighbourhood north of Orowaiti River are at risk of river inundation and storm surge. I suppose river inundation is like flooding? The West Coast Regional Council has invited the residents to a closed door meeting so they can hear expert advice and get a sense of what is in store.
10/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220810-0846-snodgrass_road_residents_left_out_of_flood_resilience_package-128.mp3,1:03.890,1:13.387,"Their home is high on an embankment facing the Orowaiti River and it stayed dry in the recent floods but their sleep-out, sheds and garden were flooded."
10/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220810-0846-snodgrass_road_residents_left_out_of_flood_resilience_package-128.mp3,1:27.743,1:46.044,"It's just caused a lot of people a lot of stress 'cause we all love where we live but something's gotta happen. I mean, let us take over the wall then if that's the case then we'll, I mean we've got people with trucks and diggers, companies in Westport that are keen to offer their assistance, to do that if they're gonna cut us off."
10/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220810-0846-snodgrass_road_residents_left_out_of_flood_resilience_package-128.mp3,2:45.368,3:04.253,"We feel as though one group of rate payers are going to be looked after and the other group of rate payers, namely ourselves, are not. And uh we don't really feel as though they've got uh anything like uh the right argument to be able to uh tell us what's going to happen under those circumstances."
09/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220809-0650-rain_washes_away_snow_at_mount_ruapehu-128.mp3,1:16.602,1:32.692,"So um at the moment we've got a school, Wainuioru School from over the back of uh the Wairarapa um and it's it's a great way for kids to learn. They hang on to the rope they can go up you know fifty metres hop off come around again up again so they can cycle around, it's not like a chairlift where they have to go all the way to the top."
09/09/2022,https://podcast.radionz.co.nz/mnr/mnr-20220909-0827-queen_elizabeth_ii_rawiri_waititi_speaks_on_death-128.mp3,0:17.531,0:35.990,"Uh and the huge vacuum left will cause debate I'm sure, but in this time of grief you know and loss we we can only support her whānau and mokopuna as they grieve and heal. You know, she's been a constant over across uh three generations and an anchor in a rapidly changing globe and so uh you know we farewell uh uh the queen and her long service."
08/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220808-0844-concerns_for_asian_kiwis_in_the_health_system-128.mp3,1:14.650,1:29.782,Health figures show Asian women in Aotearoa have the lowest average cervical screening rate among all major ethnic groups. National data shows the average screening rate for Asian women was about sixty per cent over the past fifteen years.
08/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220808-0844-concerns_for_asian_kiwis_in_the_health_system-128.mp3,1:58.591,2:15.213,"So there's understanding, so language and comprehension and cultural understanding, and then there's also a hesitancy to talk about that part of your body I think that comes with the Asian ver- s- a lot of Asian cultures, because they're very conservative."
08/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220808-0844-concerns_for_asian_kiwis_in_the_health_system-128.mp3,2:56.638,3:12.756,"Because there's not enough cultural resources or enough sort of, you know, linguistically um trained um people to help help them through the system um through through their cultural links I think that will make it m- much harder for our Asian um people to engage with the system."
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0620-c_social-housing-pkg-128.mp3,0:26.999,0:38.642,There are three thousand people in nearly two thousand Wellington City Council subsidised homes and most are spending thirty to sixty per cent of their income on rent.
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0620-c_social-housing-pkg-128.mp3,0:46.070,0:59.284,There's a huge gap in terms of the setting of rents and you know we were just like w- why are they better than us? How come they have accessibility to this but we don't? Yet we sit we go in the same waka as them you know.
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0620-c_social-housing-pkg-128.mp3,2:24.747,2:43.639,It's just completely arbitrary like there is no real reason as to why our tenants are being disadvantaged and so that was really unfair but i think the other key part to this is this report is a seed and I think it's the beginning of a conversation and a bigger piece of work around social housing.
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0737-more_frequent_flooding_driving_up_insurance_costs-128.mp3,1:36.402,1:54.055,"As they have done where I live at Papamoa Beach in terms of dune care uh defending um in terms of an option in Wellington, raising uh property platforms as they've done in Edgecomb, and worst case scenario, Guyon, is managed retreat unfortunately which we had to do at Matatā, a small community here in the Bay of Plenty."
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0746-ngai_tahu_representation_bill_anti-democratic_-_national-128.mp3,0:00.000,0:19.166,"Ngāi Tahu will get guaranteed representation and decision making powers on Canterbury's regional council. A bill ensuring two Ngāi Tahu members sit on the council passed its third reading in the parliament last night. The iwi and council say it's been a long time coming, but National is crying foul."
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0746-ngai_tahu_representation_bill_anti-democratic_-_national-128.mp3,1:04.176,1:17.751,Ngāi Tahu are entitled to this representation. They are entitled to this representation because that is the promise of the Tiriti o Waitangi and this is a modern day expression of that promise.
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0746-ngai_tahu_representation_bill_anti-democratic_-_national-128.mp3,1:31.182,1:45.120,That's going to empower not only mana whenua but all the councillors round the table in our community to make much better decisions at a time when frankly we're facing planetary overshoot on every criteria you want to name.
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0746-ngai_tahu_representation_bill_anti-democratic_-_national-128.mp3,1:53.451,02:11.800,Whether it be you know the um COVID whether we've had earthquakes and I think that that's the respect that should be shown they are mana whenua and that's how they deserve to be treated in this process. They will be one of the very first there for every crisis and for every clean up and for every critical strategic decision that needs to be made and that involves investment as well.
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0746-ngai_tahu_representation_bill_anti-democratic_-_national-128.mp3,2:52.309,3:06.919,As an iwi member and as a representative of iwi and of whānau every single conversation that you have with a whānau member you're held to account. You'll be asked how did you vote? What perspectives are you bringing to it?
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0746-ngai_tahu_representation_bill_anti-democratic_-_national-128.mp3,3:13.779,3:27.699,Ngāi Tahu have opened the door and for that reason all of those iwi out there that are struggling with how representation works for them in their rohe I hope that they're understanding that this is a potential pathway.
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0822-south_coast_resident_considers_climate_change_impact-128.mp3,1:35.404,1:50.134,"Well what would you be doing if you had the money and resources for your, for your community? Wellington south coast you've got, you know, Owhiro Bay, Houghton Bay, I mean these areas are really feeling the sharp end of this."
04/08/2022,https://podcast.radionz.co.nz/mnr/mnr-20220804-0822-south_coast_resident_considers_climate_change_impact-128.mp3,2:37.718,2:52.126,Oh I I think that's part of it but you know it's it's almost like another sort of a human problem in a way you know like we we we have a lot of difficulty looking into the future and we always think that uh tomorrow's gonna be the same as yesterday.
